codCliente,codPoliza,Ramo,Y,Salud,Vida,Autos,Cumplimiento,Patrimoniales,Otros
130803,179826,Vida,Salud,0,1,0,0,0,0
130803,131234,Salud,Patrimoniales,1,1,0,0,0,0
130810,131241,Vida,Autos,0,1,0,0,0,0
130829,133390,Cumplimiento,Patrimoniales,0,0,0,1,0,0
130849,132923,Vida,Salud,0,1,0,0,0,0
130849,132904,Salud,Patrimoniales,1,1,0,0,0,0
130853,132859,Patrimoniales,Vida,0,0,0,0,1,0
130866,132850,Cumplimiento,Patrimoniales,0,0,0,1,0,0
130867,132836,Cumplimiento,Patrimoniales,0,0,0,1,0,0
130874,132851,Cumplimiento,Patrimoniales,0,0,0,1,0,0
130898,133072,Vida,Autos,0,1,0,0,0,0
131439,191627,Vida,Salud,0,1,0,0,0,0
131819,220403,Autos,Vida,0,0,1,0,0,0
131840,132702,Autos,Salud,0,0,1,0,0,0
131876,132994,Vida,Autos,0,1,0,0,0,0
132161,132933,Vida,Autos,0,1,0,0,0,0
132241,132871,Salud,Patrimoniales,1,0,0,0,0,0
132390,187704,Vida,Autos,0,1,0,0,0,0
132408,132709,Autos,Salud,0,0,1,0,0,0
132738,132981,Vida,Autos,0,1,0,0,0,0
132787,219315,Vida,Salud,0,1,0,0,0,0
133049,132213,Autos,Salud,0,0,1,0,0,0
133055,131618,Vida,Salud,0,1,0,0,0,0
133055,132427,Salud,Patrimoniales,1,1,0,0,0,0
133059,131622,Vida,Salud,0,1,0,0,0,0
133067,132255,Vida,Patrimoniales,0,1,0,0,0,0
133070,131970,Autos,Vida,0,0,1,0,0,0
133074,132266,Vida,Patrimoniales,0,1,0,0,0,0
133076,131711,Autos,Patrimoniales,0,0,1,0,0,0
133076,131644,Patrimoniales,Salud,0,0,1,0,1,0
133076,131708,Salud,Vida,1,0,1,0,1,0
133077,132436,Salud,Patrimoniales,1,0,0,0,0,0
133077,131645,Patrimoniales,Autos,1,0,0,0,1,0
133077,131765,Autos,Vida,1,0,1,0,1,0
133078,132160,Vida,Patrimoniales,0,1,0,0,0,0
133078,131648,Patrimoniales,Salud,0,1,0,0,1,0
133081,131655,Vida,Salud,0,1,0,0,0,0
133083,131657,Patrimoniales,Vida,0,0,0,0,1,0
133089,131670,Patrimoniales,Autos,0,0,0,0,1,0
133094,131675,Vida,Salud,0,1,0,0,0,0
133094,132596,Salud,Patrimoniales,1,1,0,0,0,0
133097,131681,Vida,Salud,0,1,0,0,0,0
133101,131691,Vida,Salud,0,1,0,0,0,0
133106,131697,Vida,Patrimoniales,0,1,0,0,0,0
133106,132320,Patrimoniales,Salud,0,1,0,0,1,0
133111,131705,Vida,Salud,0,1,0,0,0,0
133115,131722,Vida,Salud,0,1,0,0,0,0
133125,131737,Autos,Salud,0,0,1,0,0,0
133127,131740,Patrimoniales,Autos,0,0,0,0,1,0
133133,193074,Autos,Vida,0,0,1,0,0,0
133145,131780,Salud,Autos,1,0,0,0,0,0
133156,132488,Salud,Vida,1,0,0,0,0,0
133157,131792,Vida,Autos,0,1,0,0,0,0
133159,131794,Salud,Autos,1,0,0,0,0,0
133169,131805,Vida,Salud,0,1,0,0,0,0
133177,132326,Patrimoniales,Vida,0,0,0,0,1,0
133179,131819,Vida,Autos,0,1,0,0,0,0
133183,131828,Vida,Salud,0,1,0,0,0,0
133184,131829,Vida,Autos,0,1,0,0,0,0
133188,131834,Vida,Salud,0,1,0,0,0,0
133189,131835,Autos,Vida,0,0,1,0,0,0
133199,131850,Vida,Salud,0,1,0,0,0,0
133202,131858,Vida,Salud,0,1,0,0,0,0
133208,131866,Salud,Patrimoniales,1,0,0,0,0,0
133211,131872,Autos,Vida,0,0,1,0,0,0
133215,132391,Patrimoniales,Salud,0,0,0,0,1,0
133237,132039,Autos,Salud,0,0,1,0,0,0
133237,131904,Salud,Patrimoniales,1,0,1,0,0,0
133240,131907,Autos,Salud,0,0,1,0,0,0
133240,131908,Salud,Patrimoniales,1,0,1,0,0,0
133240,132381,Patrimoniales,Vida,1,0,1,0,1,0
133245,131918,Salud,Vida,1,0,0,0,0,0
133247,131923,Vida,Salud,0,1,0,0,0,0
133248,131925,Vida,Salud,0,1,0,0,0,0
133251,131933,Vida,Patrimoniales,0,1,0,0,0,0
133254,131939,Salud,Patrimoniales,1,0,0,0,0,0
133254,132331,Patrimoniales,Vida,1,0,0,0,1,0
133269,131967,Vida,Autos,0,1,0,0,0,0
133272,131982,Vida,Salud,0,1,0,0,0,0
133275,131996,Vida,Salud,0,1,0,0,0,0
133276,132001,Vida,Salud,0,1,0,0,0,0
133277,132005,Vida,Autos,0,1,0,0,0,0
133278,132009,Vida,Autos,0,1,0,0,0,0
133282,132025,Autos,Vida,0,0,1,0,0,0
133283,132034,Autos,Vida,0,0,1,0,0,0
133287,132040,Autos,Vida,0,0,1,0,0,0
133289,131987,Autos,Vida,0,0,1,0,0,0
133290,132062,Vida,Cumplimiento,0,1,0,0,0,0
133290,132257,Cumplimiento,Salud,0,1,0,1,0,0
133303,132207,Autos,Salud,0,0,1,0,0,0
133304,132106,Autos,Salud,0,0,1,0,0,0
133304,132438,Salud,Vida,1,0,1,0,0,0
