codCliente,codPoliza,Edad,Ramo,Y,Salud,Vida,Autos,Cumplimiento,Patrimoniales,Otros
107326,193763,60,Patrimoniales,Salud,0,0,0,0,1,0
107343,89135,39,Salud,Vida,1,0,0,0,0,0
107362,89468,49,Vida,Patrimoniales,0,1,0,0,0,0
107383,89140,43,Salud,Patrimoniales,1,0,0,0,0,0
107395,89242,64,Salud,Vida,1,0,0,0,0,0
107405,89100,43,Patrimoniales,Salud,0,0,0,0,1,0
107410,89166,0,Salud,Vida,1,0,0,0,0,0
107411,89263,63,Vida,Salud,0,1,0,0,0,0
107411,99189,63,Salud,Patrimoniales,1,1,0,0,0,0
107414,89004,53,Autos,Vida,0,0,1,0,0,0
107414,89306,53,Vida,Patrimoniales,0,1,1,0,0,0
107414,89059,53,Patrimoniales,Salud,0,1,1,0,1,0
107416,96460,50,Autos,Otros,0,0,1,0,0,0
107416,178014,50,Otros,Vida,0,0,1,0,0,1
107421,89295,43,Salud,Autos,1,0,0,0,0,0
107422,89293,41,Salud,Vida,1,0,0,0,0,0
107437,89356,76,Vida,Salud,0,1,0,0,0,0
107462,89155,40,Salud,Vida,1,0,0,0,0,0
107468,89422,35,Vida,Salud,0,1,0,0,0,0
107564,190560,0,Cumplimiento,Patrimoniales,0,0,0,1,0,0
107656,89771,54,Autos,Cumplimiento,0,0,1,0,0,0
107692,90487,32,Vida,Salud,0,1,0,0,0,0
107692,90332,32,Salud,Autos,1,1,0,0,0,0
107693,90485,39,Vida,Salud,0,1,0,0,0,0
107693,90318,39,Salud,Autos,1,1,0,0,0,0
107712,91023,57,Patrimoniales,Salud,0,0,0,0,1,0
107712,90375,57,Salud,Autos,1,0,0,0,1,0
107712,199549,57,Autos,Vida,1,0,1,0,1,0
107791,90143,36,Vida,Salud,0,1,0,0,0,0
107791,90013,36,Salud,Autos,1,1,0,0,0,0
107831,91103,33,Patrimoniales,Autos,0,0,0,0,1,0
107844,89883,41,Autos,Salud,0,0,1,0,0,0
107924,127670,38,Autos,Salud,0,0,1,0,0,0
107958,161214,34,Autos,Salud,0,0,1,0,0,0
107959,127606,34,Patrimoniales,Salud,0,0,0,0,1,0
108039,89948,62,Salud,Autos,1,0,0,0,0,0
108049,89935,67,Salud,Autos,1,0,0,0,0,0
108050,90086,57,Vida,Autos,0,1,0,0,0,0
108064,89958,44,Salud,Autos,1,0,0,0,0,0
108064,89892,44,Autos,Vida,1,0,1,0,0,0
108091,90106,69,Vida,Patrimoniales,0,1,0,0,0,0
108092,89942,63,Patrimoniales,Vida,0,0,0,0,1,0
108112,90151,50,Vida,Salud,0,1,0,0,0,0
108112,90065,50,Salud,Autos,1,1,0,0,0,0
108114,127675,49,Autos,Salud,0,0,1,0,0,0
108114,90119,49,Salud,Patrimoniales,1,0,1,0,0,0
108117,89950,49,Vida,Salud,0,1,0,0,0,0
108128,89888,58,Autos,Vida,0,0,1,0,0,0
108133,89966,61,Salud,Vida,1,0,0,0,0,0
108141,89973,53,Salud,Vida,1,0,0,0,0,0
108145,89921,62,Autos,Salud,0,0,1,0,0,0
108169,90090,40,Vida,Salud,0,1,0,0,0,0
108172,90147,42,Vida,Salud,0,1,0,0,0,0
108175,89956,55,Patrimoniales,Salud,0,0,0,0,1,0
108183,182280,58,Autos,Salud,0,0,1,0,0,0
108236,89961,40,Salud,Vida,1,0,0,0,0,0
108255,89900,53,Patrimoniales,Vida,0,0,0,0,1,0
108275,127677,65,Patrimoniales,Autos,0,0,0,0,1,0
108275,89919,65,Autos,Salud,0,0,1,0,1,0
108275,89980,65,Salud,Vida,1,0,1,0,1,0
108276,127654,68,Autos,Vida,0,0,1,0,0,0
108293,127616,41,Autos,Salud,0,0,1,0,0,0
108772,90414,37,Vida,Salud,0,1,0,0,0,0
108774,90545,37,Vida,Salud,0,1,0,0,0,0
108780,212406,34,Patrimoniales,Salud,0,0,0,0,1,0
108782,90192,32,Autos,Patrimoniales,0,0,1,0,0,0
108784,212402,32,Patrimoniales,Salud,0,0,0,0,1,0
108793,91024,27,Patrimoniales,Vida,0,0,0,0,1,0
108887,177942,39,Vida,Salud,0,1,0,0,0,0
108896,139434,37,Patrimoniales,Autos,0,0,0,0,1,0
108896,199552,37,Autos,Salud,0,0,1,0,1,0
108952,199576,68,Autos,Vida,0,0,1,0,0,0
108968,90489,57,Vida,Salud,0,1,0,0,0,0
108990,90461,46,Vida,Salud,0,1,0,0,0,0
108993,90462,42,Vida,Salud,0,1,0,0,0,0
109000,91041,69,Patrimoniales,Autos,0,0,0,0,1,0
109019,90342,44,Patrimoniales,Vida,0,0,0,0,1,0
109032,90453,57,Vida,Patrimoniales,0,1,0,0,0,0
109034,90358,56,Salud,Patrimoniales,1,0,0,0,0,0
109037,90550,56,Vida,Autos,0,1,0,0,0,0
109040,90391,69,Salud,Vida,1,0,0,0,0,0
109044,90496,65,Vida,Salud,0,1,0,0,0,0
109050,91051,60,Autos,Patrimoniales,0,0,1,0,0,0
109050,91025,60,Patrimoniales,Vida,0,0,1,0,1,0
109061,90538,59,Vida,Autos,0,1,0,0,0,0
109062,90507,51,Vida,Autos,0,1,0,0,0,0
109063,90366,59,Salud,Vida,1,0,0,0,0,0
109064,90526,58,Vida,Salud,0,1,0,0,0,0
